what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.ClassFileEditor",1287380669750
closed,editor,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1287380669859
opened,editor,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1287380670109
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.ClassFileEditor",1287380670156
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1287380680046
activated,editor,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1287380680062
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287380682328
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287380682484
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287380682625
activated,editor,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1287380683781
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287380688453
closed,editor,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1287380688453
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1287380721109
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287380725687
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1287380741812
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287380743421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380744078
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380745296
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287380752687
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380753203
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380754500
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287380764578
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380765187
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380766640
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287380788828
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380789328
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380791078
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287380798968
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380799453
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380800734
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287380815906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380816500
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380817484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380821046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380822312
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1287380822359
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287380824593
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287380829609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380830265
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380831421
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287380851156
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380851671
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380852718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380856515
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380883015
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287380905875
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287380949171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287381041296
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287381047000
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287381047000
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287381047125
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287381144859
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1287381144906
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287381147656
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287381163296
