what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287487902312
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1287487927343
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287487928812
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287487930578
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287487930984
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287487934015
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287487934437
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1287487944062
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1287487944984
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287487974171
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287487986375
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287487995984
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488025281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488075218
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287488107562
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1287488144093
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287488146671
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287488147125
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287488153625
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287488155265
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287488159343
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287488160515
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287488160921
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287488209437
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287488232093
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287488246328
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488250671
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488511609
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287488532171
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287488535968
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287488587515
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488619281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488619281
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488619296
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488841171
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488843375
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488865468
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488867921
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488874765
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287488877812
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287488878671
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488956281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488962765
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287488963625
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488965828
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488968312
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488999171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488999187
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287488999218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287489021062
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287489029484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287489040359
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287489064484
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287489071453
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1287489099046
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287489103281
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287489119921
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1287489142406
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1287489142812
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1287489143203
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1287489143625
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1287489143984
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1287489156375
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287489183796
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287489193281
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287489202031
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287489205953
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287489207671
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287489214937
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287489221218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287489221234
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287489221328
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287489245859
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287489270125
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1287489277500
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287489280718
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287489281875
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1287489285890
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287489292656
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287489293546
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1287489298140
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287489299968
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287489307171
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287489330390
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287489339812
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1287489346171
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287489368500
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287489407109
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287489407171
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287489448328
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287489486796
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287489541390
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287489555968
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287489559296
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287489559312
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287489559328
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287489754640
