what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287375687703
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287375687703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287375687859
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287375705781
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1287375706609
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287375706859
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1287375718703
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1287375719718
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287375721625
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287375726093
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287375770109
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287375774093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287375774250
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287375776843
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1287375786703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287375852140
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287375861171
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287375867390
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287375869828
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287375873625
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287375881078
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287375894390
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287375916406
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287375948250
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287375948343
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287375949984
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287375951265
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287375958718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376004812
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376032328
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287376039187
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1287376041171
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1287376041890
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1287376041968
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376042046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376043437
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376044750
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376067468
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376070421
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376070609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376070640
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376070953
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376071234
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376074531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376075156
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376075296
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376079921
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376088062
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376089093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376089250
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376089312
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376240468
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376243218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376245750
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376251015
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376257578
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1287376257609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376264328
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376297875
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376302343
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287376310750
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287376321156
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1287376333125
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287376335546
