what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1286762747328
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1286762747328
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1286762747328
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1286762747328
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1286762747328
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.context.ui",1286762747343
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1286762747343
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.1.v20100730-0100-e3x,"org.eclipse.mylyn.tasks.ui",1286762747359
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1286762747375
os,sysinfo,,,"win32",1286762747390
arch,sysinfo,,,"x86",1286762747390
ws,sysinfo,,,"win32",1286762747390
locale,sysinfo,,,"en_US",1286762747390
processors,sysinfo,,,"2",1286762747390
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1286762747390
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1286762747390
java.specification.name,sysinfo,,,"Java Platform API Specification",1286762747390
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1286762747390
java.specification.version,sysinfo,,,"1.6",1286762747390
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1286762747390
java.version,sysinfo,,,"1.6.0_21",1286762747390
java.vm.info,sysinfo,,,"mixed mode, sharing",1286762747390
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1286762747390
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1286762747390
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1286762747390
java.vm.specification.version,sysinfo,,,"1.0",1286762747390
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1286762747390
java.vm.version,sysinfo,,,"17.0-b17",1286762747390
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1286762747484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286762747484
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: SoundSpatialization",1286762747828
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: SoundSpatialization",1286762748093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286762759187
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: SoundSpatialization",1286762760125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286762764171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286762788671
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286762790578
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286762803890
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286762806453
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286762806625
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286762812343
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286762850546
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1286762852921
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286762854531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286762858140
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286762867125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286762868218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286762869531
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286762870000
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1286762870687
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1286762870703
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1286762870703
stopped,bundle,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.adt",1286762870703
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1286762870718
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1286762870718
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1286762870718
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1286762870718
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1286762870718
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1286762870734
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1286762870734
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1286762870750
stopped,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1286762870750
stopped,bundle,org.eclipse.wst.common.ui,1.1.402.v200901262305,"org.eclipse.wst.common.ui",1286762870750
stopped,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1286762870765
stopped,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1286762870765
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1286762870765
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1287371239140
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1287371239140
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1287371239140
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1287371239140
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1287371239140
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1287371239140
