what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1287420079187
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1287420079312
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1287420079359
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1287420079359
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1287420079531
started,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,"org.eclipse.wst.xsd.core",1287420079562
started,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1287420079593
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1287420080593
activated,editor,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.editors.layout.LayoutEditor",1287420080671
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287420080671
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1287420082906
closed,editor,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.editors.layout.LayoutEditor",1287420082906
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287420087000
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1287420087296
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1287420087468
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287420087562
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1287420090750
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287420094921
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287420154656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287420156187
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287420158218
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287420160312
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287420160359
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287420160703
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287420162421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287420171500
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287420176750
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287420177453
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287420181359
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1287420181468
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287420185765
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287420196890
activated,view,org.eclipse.mylyn.tasks.ui,3.4.1.v20100730-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1287420196921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287420201250
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287420205015
opened,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1287420205171
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1287420205250
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.views.showView",1287420205250
