what,kind,bundleId,bundleVersion,description,time
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1288397581703
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1288397596625
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1288397597609
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1288397622937
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1288397632640
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288397640046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288397694984
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1288397695125
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1288397696953
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1288397710750
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1288397711640
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1288397733156
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288397735171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288397999578
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288398003531
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288398007531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288398008031
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288398021500
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288398023921
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288398058828
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1288398060468
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288398063109
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288398135656
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288398135718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288398137609
error,log,,,"No command output when running: 'am start -n ss.cockatoo/ss.cockatoo.DemoCockatoo -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1288398181390
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288398815140
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1288398823234
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288398825234
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288398827125
opened,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.SourceView",1288398834890
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.SourceView",1288398834921
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1288398835578
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1288398836265
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1288398840562
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1288398841453
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288398852703
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288398858984
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288398925140
error,log,,,"No command output when running: 'am start -n ss.cockatoo/ss.cockatoo.DemoCockatoo -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1288398941890
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1288399022593
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1288399022593
